able : The results of the domain experts' evaluation (Disease/Pest category).,,,,,
Question,Mean,SD,relative weight (%),Degree#,Rank
CQ1,6.15,0.9,87.91,Strongly agree,2
CQ2,6.08,1.04,86.81,Strongly agree,5
CQ3,4.5,2.59,64.29,Somewhat agree,25
CQ4,5.88,0.99,83.93,Agree,9
CQ5,5.9,0.88,84.29,Agree,8
CQ6,6.1,0.74,87.14,Strongly agree,4
CQ7,5.5,0.84,78.57,Agree,15
CQ8,5.17,1.47,73.81,Agree,20
CQ9,5.17,0.98,73.81,Agree,20
CQ10,5.5,0.8,78.57,Agree,15
CQ11,4.83,2.04,69.05,Somewhat agree,23
CQ12,5.83,0.75,83.33,Agree,11
CQ13,5.33,0.52,76.19,Agree,18
CQ14,5.1,1.29,72.86,Agree,22
CQ15,5.73,1.27,81.82,Agree,13
CQ16,5.91,1.38,84.42,Agree,6
CQ17,6.29,0.49,89.8,Strongly agree,1
CQ18,5.86,0.9,83.67,Agree,10
CQ19,5.8,0.92,82.86,Agree,12
CQ20,5.7,1.49,81.43,Agree,14
CQ21,5.44,1.01,77.78,Agree,17
CQ22,5.91,1.14,84.42,Agree,6
CQ23,6.11,1.05,87.3,Strongly agree,3
CQ24,5.25,1.16,75,Agree,19
CQ25,4.83,1.59,69.05,Somewhat agree,23
Disease/ Pest,5.68,0.79,81.09,Agree,
"# Strongly agree is from 100% to greater than 85.7%, agree is 85.6% to greater than 71.4%, and somewhat agree is less than 71.3% to greater than 57.1%.",,,,,
,,,,,
,,,,,
,,,,,
Table : The results of the domain experts' evaluation (Control Methods category).,,,,,
Question,Mean,SD,relative weight (%),Degree#,Rank
CQ1,5,2.24,71.43,Somewhat agree,15
CQ2,5,1.29,71.43,Somewhat agree,15
CQ3,6,1,85.71,Strongly agree,2
CQ4,5.64,1.29,80.52,Agree,10
CQ5,5.71,1.11,81.63,Agree,5
CQ6,5.71,1.38,81.63,Agree,5
CQ7,6.09,1.04,87.01,Strongly agree,1
CQ8,5.57,1.72,79.59,Agree,11
CQ9,5.71,1.38,81.63,Agree,5
CQ10,5.71,1.25,81.63,Agree,5
CQ11,4.86,1.86,69.39,Somewhat agree,18
CQ12,5.29,1.7,75.51,Agree,13
CQ13,4.64,2.25,66.23,Somewhat agree,20
CQ14,5.29,1.6,75.51,Agree,13
CQ15,4.75,2.43,67.86,Somewhat agree,19
CQ16,5.86,0.69,83.67,Agree,4
CQ17,5.71,0.76,81.63,Agree,5
CQ18,6,0.58,85.71,Strongly agree,2
CQ19,5.33,1.67,76.19,Agree,12
CQ20,4.91,1.76,70.13,Somewhat agree,17
Control Methods,4.88,2.01,69.71,Somewhat agree,
"# Strongly agree is from 100% to greater than 85.7%, agree is 85.6% to greater than 71.4%, and somewhat agree is less than 71.3% to greater than 57.1%.",,,,,
,,,,,
,,,,,
 ,,,,,
Table :The results of the domain experts' evaluation (Symptom of Disease/Pest category).,,,,,
Question,Mean,SD,relative weight (%),Degree#,Rank
CQ1,6.13,0.64,87.5,Strongly agree,3
CQ2,6.17,0.72,88.1,Strongly agree,2
CQ3,5.63,1.19,80.36,Agree,12
CQ4,5.33,1.21,76.19,Agree,15
CQ5,6,0.58,85.71,Strongly agree,5
CQ6,5.4,1.26,77.14,Agree,14
